"","Query","Tax","Matching","MapQ","AS.max"
"638","06daef33-5b46-49b9-8db5-23ce0a24c202","Lactobacillus_casei",88.6396526772793,0,1770
"644","06eb42a8-a49b-4884-9246-dc39333539e5","Sanguibacter_keddieii",95.9970887918486,0,2370
"647","0719a4a7-779e-4bf1-b679-5810e3d59033","Lactobacillus_fermentum",96.4456596035543,0,2582
"650","0721e253-3e9e-4cb1-85c1-65715d674f24","Lactobacillus_casei",92.3751686909582,0,2230
"657","0723fcb9-227a-4b13-8338-22a866099075","Lactobacillus_paracasei",88.6792452830189,0,1912
"660","072d1115-470b-48ac-8886-8bc2990cf604","Lactobacillus_fermentum",91.8918918918919,0,2096
"661","072e82ff-8c56-473f-bda0-9ae2450e1852","Lactobacillus_fermentum",92.9740791268758,0,2276
"667","07311733-710d-4a88-9a1b-cf723ebca9a0","Lactobacillus_fermentum",88.3507853403141,1,1956
"671","07350711-3c73-4617-a108-6c2d0f97675c","Lactobacillus_plantarum",90.983606557377,0,2106
"674","073841f3-3873-4086-8855-b4dc431f2ef1","Lactobacillus_fermentum",88.4507042253521,1,1804
"677","0739a081-230d-4562-9ae9-dd29b583fbc7","Lactobacillus_plantarum",90.1639344262295,0,2038
"680","0743c1f0-a323-47eb-a753-3b8ed52b2d1b","Lactobacillus_oris",78.1398506449423,20,968
"685","074b413c-bff0-48ce-a6cd-644a1ab60406","Lactobacillus_casei",85.1008458035133,0,1624
"688","0753caa3-ef22-4131-9446-a2847f775624","Lactobacillus_casei",86.831550802139,0,1758
"691","075f3485-b522-4235-a840-c9dd7f7d73ff","Lactobacillus_casei",84.3876177658143,1,1556
"699","076cb054-f00f-413b-a5ef-2ec84d859ed1","Lactobacillus_fermentum",93.5010482180294,0,2256
"706","0772b6d2-c3da-416f-8741-01f7dae7f291","Lactobacillus_paracasei",88.7542087542087,1,1922
"711","077334ce-2fff-4037-afde-807b0fbc1e9f","Lactobacillus_paracasei",82.4822695035461,1,1310
"712","0773a6f5-5b03-4848-8378-53aefb07d4c6","Lactobacillus_casei",90.771349862259,0,2046
"716","077ab599-4b3a-4f98-a0b1-861e8dbc4a73","Lactobacillus_buchneri",81.4152966404575,0,1182
"719","078622b5-38dd-4ec4-becc-9f165adf3edd","Lactobacillus_casei",84.9056603773585,1,1552
"724","078bddb3-3114-4ba9-9794-a5496388ae26","Lactobacillus_buchneri",88.32,0,1590
"725","0796287a-d53f-46a8-8f7f-61e5ce163732","Lactobacillus_casei",94.9105914718019,0,2430
"730","079751a8-d00a-462e-b778-b39806a68c93","Lactobacillus_fermentum",90.6913073237509,1,2040
"735","079c89e0-1298-4721-8957-f13f7f7dcc90","Lactobacillus_fermentum",84.8443843031123,1,1572
"740","07af7bd3-8145-41b9-bd93-ac5a70c36f17","Lactobacillus_fermentum",84.0655737704918,1,1538
